swMATH work ID,Software
'0',swMATH
'1',FORTRAN
'2',SuperLU-DIST
'3',WHISPAR
'4',MULTI2D
'5',BEMLIB
'6',FIDAP
'7',SHALL 4
'8',MXYZPTLK
'9',2LEV-D2P4
'10',3D-XplorMath
'11',ABCRATE
'12',ABSFAC
'13',Access/CPN framework
'14',ACETAF
'15',ACRITH-XSC
'16',ACVisualizer
'17',ADF95
'18',ADMIT-1
'19',ADOL-C
'20',ADOL-F
'21',ADPAC
'22',AGD
'23',AIFS
'24',Akord
'25',ALBERT
'26',ALCOR
'27',AlgCurve
'28',ALIBABA
'29',Aligator
'30',ALLD
'31',alloc
'32',Alpaga
'33',ALPAL
'34',Alpi
'35',ALPO
'36',ALPS
'37',ALTDSE
'38',AMBRE
'39',AMD
'40',AMEEDA
'41',AMESPLOT
'42',ANALYST
'43',Analytical Finance Package
'44',ANSYS
'45',Apron
'46',ARfit
'47',ARMiner
'48',ARMS
'49',ARVO
'50',ASPeRiX
'51',ASTA
'52',ASTRA
'53',ASYMPT
'54',ASYS
'55',ATENSOR
'56',ATLAS
'57',AUTO_DERIV
'58',AutoMarkup
'59',AUTOMATE
'60',ACL2
'61',AVS/express
'63',AXIOM
'64',BACOL
'65',Bagel
'66',BARON
'67',BAT
'68',BayesCalc
'69',BBVSCG
'70',BCYCLIC
'71',Beaver
'72',BEM
'74',BGroidAP2
'75',BHESS
'76',Bi-CG
'77',BIFURK
'78',BIGEBRA
'79',BioBrowser
'80',Biota
'81',BISTAB
'82',Blitz++
'83',BNCpack
'84',BOKASUN
'85',Boolector
'86',BoomerAMG
'88',BPMPD
'89',BPOLY
'90',BRANECODE
'91',BRENTM
'92',BRKF45
'93',BSFM
'94',BTN
'95',BTPEC
'96',BVSPIS
'97',Cadabra
'98',CADNA
'99',CAGE
'100',CALYPSO
'101',CANM
'102',Canon
'103',CAPDYN
'104',CAPLib
'105',CARP-CG
'106',CARRADS
'107',CartGen
'108',CASA
'109',Catfish
'110',CATPAC
'111',CCSP
'112',CD++
'113',CD2D3D
'114',cdd
'115',Cdiprover3
'116',CDT
'117',CELEFUNT
'118',CGAL
'119',CHABIS
'121',Charles
'122',Chaste
'123',CHECKDEN
'124',CHEMSODE
'125',Chronos
'126',Cider
'127',Cinderella
'128',CirCUs
'129',CLAN
'130',CLASSiC
'131',CLIFFORD
'132',CLPS-B
'133',CLUCalc
'134',Cluster
'135',CMBSlib
'136',C-Merge
'137',CMIT
'138',CMMPAK
'139',CNOP
'140',Co-array Python
'142',Cocktail
'143',CoCoA
'144',CoCoALib
'145',COLAMD
'146',COLLGUN
'147',COMPAS
'148',complex
'149',complib
'150',compositions
'151',Concepts
'152',CONHYP
'153',ConImp
'154',conley
'155',CONSLAW
'156',CONVODE
'157',CONVUS
'158',COOPT
'159',FRODO
'160',FSMT
'161',Coq
'162',COSTA
'163',CoStLy
'164',CPBPV
'165',CPDES2
'166',critic
'167',crystal
'168',c-sat
'169',CSDP
'170',CsegGraph
'171',CS-Prolog
'172',CSRFPACK
'173',Cuba
'175',CUBPACK
'176',CUDAEASY
'177',CUTE
'178',CViz
'179',CVPP
'180',CXFTV2
'181',C-XSC
'182',C-XSC 2.0
'183',Dafny
'185',Dagwood
'186',DARN!
'187',DATA-MAP
'188',DataScan
'189',DAVIS
'190',DCUHRE
'191',DCUTRI
'192',DDDLIB
'193',DD-mod
'194',DEA
'195',Delta
'196',DEMiCs
'197',DENA
'198',DETools
'199',Devmol
'200',D-Finder
'201',DFTI
'202',DG2VHDL
'203',Diffpack
'205',Dill
'206',DisCAS
'207',DISNEL
'208',dl2asp
'209',DL-LEED
'210',DLLSA
'211',DCMS_
'212',DMG-Lib
'213',DMTL
'214',DOgMA
'215',DOLIB
'216',DP2PN2Solver
'217',dpgb
'218',DPJ
'219',DPvis
'220',DRAGON
'221',DRAMA
'222',dSL
'223',DTCPP
'224',Dunnart
'227',Dynasol
'228',EDGE
'229',EdgePack
'230',EDS
'231',EDS3
'232',EDU-EX
'233',E&F Chaos
'234',EHMAC
'235',EIGIFP
'236',Elkhound
'237',EMiT
'238',Engel
'239',EOlib
'240',EPDCOL
'241',EPIMK2
'242',ePix
'243',EPL-Julia
'244',Epsilon
'245',ERCS08
'246',Errata
'247',ESBA2
'248',ESFLIB
'249',ESTIMA
'250',EULAIR
'251',EULER
'252',Eureka!
'253',EVE
'254',EViews
'255',EVIM
'256',EvolFMC
'257',EXPFIT4
'258',Expokit
'259',Extrud
'260',FACTOR
'261',FARB-E-2D
'262',FAST16
'263',FANN
'264',FASTERD
'265',FATCOP
'266',FC++
'267',FCLib
'268',FDCSUSYDecay
'269',FDEXTR
'270',FDLIB
'271',FDVis
'272',FedeRaL
'273',FEMGPL
'274',FEMLAB
'275',FEMSTER
'276',FEPG
'277',Fermat
'278',FESSDE
'279',FETMOSS
'280',FEView
'281',FEXACT
'282',FeynHiggs
'283',FFLAS-FFPACK
'285',FFT9
'286',FGb
'287',FIAT
'288',FIDISOL
'289',Figaro
'290',FINSLER
'291',finvar.lib
'292',FIPS
'293',FLAME
'294',FLASH Code
'295',FLEXMG
'296',FL-GrCCA
'297',FLINT
'298',FLIP
'299',FLIPS
'300',FLITE3D
'301',FluidSim
'302',FluNet
'303',FMona
'304',Forest FIRE
'305',FORTRAN-SC
'306',FORTRAN-XSC
'307',FOXBOX
'308',FracMAP
'309',FuelCellLib
'310',FUM
'311',FUZSIM
'312',FuzzME
'313',Gaalop
'314',GaAs-MESFET
'316',Galileo
'317',GALOIS
'318',GAMMA2D
'319',GANSO
'320',GAP
'321',GASFLO
'322',GAUSS
'323',GAVS
'324',Gb
'325',GC²
'326',GCLC
'327',GDR
'328',GEANT4
'329',GEARS
'330',Geist3D
'331',GELDA
'332',GeM
'333',Gencel
'334',GENEX
'335',GENOPT
'336',GENTRAN 90
'337',GeodesicViewer
'338',GeoFEM
'339',GEOMPACK
'340',GEOMS
'341',Gerris
'342',GFACTOR2001
'343',GFCUBHEX
'344',gfun
'345',GGobi
'346',GHP
'347',GHPII
'348',GiANT
'349',GILK
'350',Ginv
'352',GistSumm
'353',GITA
'354',Givaro
'355',GLANUSIT
'356',GLie
'357',GLOB
'358',Global Optimization Toolbox For Maple
'359',GLOPT
'360',gLPS
'361',glsurf
'362',Gmat
'363',gmp
'364',GMP/X
'365',GMRES
'366',Gmsh
'367',GNT
'368',GNTicker
'369',GNU MPFR
'370',GOBLIN
'371',Golem95
'372',GPAMM
'373',GQRAT
'374',Grail
'375',GrAL
'376',ngram
'377',GRAPE
'378',GraphTool
'379',grasp2k
'380',GRASP92
'381',GravEn
'382',GRB
'383',GREAT
'384',GreatSPN
'385',GRESS
'386',gretl
'387',GrGen
'388',GridBench
'389',GridComp
'390',gridlib
'391',GRM
'392',GRSIM
'393',GRTensorII
'394',GSPeeDI
'395',gTybalt
'396',H2PEC
'397',HaifaSat
'398',HANKEL
'399',HasCasl
'400',HBrowse
'401',HDECAY
'402',HEDES
'403',HERMES
'404',HeteroMPI
'405',HFST
'406',HGV
'407',HIFICOMP
'408',Hilbert class library
'409',HOL-Boogie
'410',HOM4PS
'411',homalg
'412',HOMPACK90
'413',Hopscotch
'414',Houria III
'415',HP90
'416',HPFIT
'417',HPF/JA
'418',HSL
'419',hsmm
'420',HURRY
'421',HYBRID
'422',HYPENS
'423',HYPERG
'424',Hyperheuristics
'425',Hypexp
'426',hypre
'427',HYTRAN
'428',I2Geo
'429',IBM Scratchpad
'431',ICONGRAPH
'432',ICOT
'433',ICS
'434',IDA
'435',IDS
'437',ILTP
'438',IMD
'439',IMITATOR
'440',IML - Integer Matrix Library
'441',INCOP
'442',INTBIS
'443',InterViewer
'444',INTLIB
'445',intpakX
'446',Invar
'447',InViWo
'448',iOpt
'449',IPMLO
'450',IQPACK
'451',irbleigs
'452',IRKC
'453',ISAAC
'454',Isabelle
'456',ISNaS
'457',ISOGAT
'458',Isolde
'459',ITPACK
'460',ITPACK 2C
'461',ITSM
'462',J3DV
'463',JAAFAAR
'464',JASMine
'465',JASP
'466',JavaCard
'467',JavaFit
'468',JAVAVIS
'469',JaVis
'470',JBSP
'471',jETI
'472',JEWL
'473',JHomogenizer
'474',JJGEN
'475',JMLUnit
'476',JMP
'477',JMulTi
'478',JNF
'479',JuNoLo
'480',KAM
'481',KANT/KASH
'482',KANTBP
'483',KB-VISION
'484',kcnfs
'485',KelpIO
'486',KeY-C
'487',KILLING
'488',KINSOLVER
'489',KLEIN
'490',KNITRO
'491',KnotPlot
'492',KoralW
'493',KORALZ
'494',Kranc
'495',Kronecker
'496',KyPlot
'497',L1Packv2
'498',L2CXFT
'500',LANCELOT
'501',LANGAGE
'502',LanHEP
'503',LAPACK
'504',LAPACK95
'505',LASS
'506',LATTICEEASY
'507',LDL
'508',LDLTP
'509',LEDA
'510',LEED90
'511',LENTA
'512',LEO-II
'513',Lesser Bear
'514',LEVI
'515',LEXIGRAM
'516',LGO
'517',LGS
'518',LiDIA
'520',LILIX
'521',LIMSoft
'522',LinBox
'523',LiScNLE
'524',Loki
'525',LOREG
'526',LPABO
'527',LPAKO
'528',LP-LGU
'529',LSNNO
'530',LSQR
'531',Lyap
'532',M2Z
'533',M3RK
'534',M4RI
'535',MA48
'536',MA57
'537',Macaulay2
'538',MACBETH
'539',MACHAR
'540',Magma
'541',MAGNeT
'542',MALLBA
'543',MAMSolver
'544',ManySAT
'545',Maple
'546',MapReduce
'547',MARCA
'548',March_eq
'549',MARS
'550',MATAD
'551',MATCONT
'552',MathBlackBoard
'553',Mathemagix
