zbmath_id	author	author_ids	document_title	source	classifications	language	links	keywords	doi	publication_year	serial
oai:zbmath.org:6001887	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	li.shasha;deng.caixia;fu.zuoxian	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	46E22;42C40;65T60	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	wavelet transform;reproducing kernel;Cgau wavelet	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001888	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	li.shirong;du.ni;zhong.xianggui	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	20D20;20D10;20D40;20D35	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	finite groups;saturated formations;\(S\)-quasinormally embedded subgroups;supersolvability;Sylow subgroups	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001889	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	wang.jian.2	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	60J25;60J75	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	Lévy type operators;pseudo-differential operators;symbol function;non-explosion;stability	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001890	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	cai.qingsong	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	53C23;53B21	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	pseudo group;covering spaces;conjugate radius	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001891	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	tao.zhixiong	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	57M25;30C15	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	knot;link;Jones polynomial;zeros of polynomial;Mahler measure	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001892	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	wu.bingye	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	53C42;53B30	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	locally conformally flat;Ricci tensor;Schouten tensor;principal Schouten curvature;\(m\)-th Schouten curvature	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001893	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	liu.yannan.1;liu.ping;wang.yuwen	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	47J15;47J25;47J07	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	multiple eigenvalue;Lyapunov-Schmidt reduction;bifurcation	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001894	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	yang.chuanfu	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	35K57;34B24	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	diffusion operator;eigenvalue problem;half-inverse problem	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001895	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	jiang.zhichao;cao.jiantao;cheng.guangtao;he.chunjiang	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	92D30;34K18;34K20;65C20	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	SIR model;Hopf bifurcation	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001896	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	geng.fengjie;zhu.deming;lian.hairong	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	34C37;34C23;34C05;34C25;37C29;37G15	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	local active coordinates;Poincaré map;heteroclinic cycles	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:6001897	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	xu.huifang	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	35R09;45K05	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	inverse problem;partial integro-differential equation;optimization;regularization;Fréchet differential;jump-diffusion;local-volatility	None	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
