item,itemLabel,orcid
https://portal.mardi4nfdi.de/entity/Q69789,Abdulaziz Alenazi,0000-0002-4758-8871
https://portal.mardi4nfdi.de/entity/Q73601,Sandrine Charles,0000-0003-4604-0166
https://portal.mardi4nfdi.de/entity/Q122078,Alejandro Platas-lópez,0000-0002-2584-343X
https://portal.mardi4nfdi.de/entity/Q304625,Rampal Stefan Etienne,0000-0003-2142-7612
https://portal.mardi4nfdi.de/entity/Q304625,Rampal S. Etienne,0000-0003-2142-7612
https://portal.mardi4nfdi.de/entity/Q76785,Nicholas J Lyon,0000-0003-3905-1078
https://portal.mardi4nfdi.de/entity/Q118806,Jacob R. Bradley,0000-0003-1616-4969
https://portal.mardi4nfdi.de/entity/Q120551,Jouni Helske,0000-0001-7130-793X
https://portal.mardi4nfdi.de/entity/Q124265,Danilo Roberti Alves De Almeida,0000-0002-8747-0085
https://portal.mardi4nfdi.de/entity/Q124267,Carlos Alberto Silva,0000-0002-7844-3560
https://portal.mardi4nfdi.de/entity/Q128767,Quentin F. Gronau,0000-0001-5510-6943
https://portal.mardi4nfdi.de/entity/Q849466,Rasmus Nielsen,0000-0003-0513-6591
https://portal.mardi4nfdi.de/entity/Q849466,Rasmus Nielsen,0000-0003-0513-6591
https://portal.mardi4nfdi.de/entity/Q58339,Indrajeet Patil,0000-0003-1995-6531
https://portal.mardi4nfdi.de/entity/Q58611,Dean Attali,0000-0002-5645-3493
https://portal.mardi4nfdi.de/entity/Q58490,Gary King,0000-0002-5327-7631
https://portal.mardi4nfdi.de/entity/Q58490,Gary King,0000-0002-5327-7631
https://portal.mardi4nfdi.de/entity/Q58346,Daniel Lüdecke,0000-0002-8895-3206
https://portal.mardi4nfdi.de/entity/Q58354,Brenton M. Wiernik,0000-0001-9560-6336
https://portal.mardi4nfdi.de/entity/Q58454,Michael J. Kane,0000-0003-1899-6662
https://portal.mardi4nfdi.de/entity/Q58182,Vincent Arel-Bundock,0000-0003-2042-7063
https://portal.mardi4nfdi.de/entity/Q58231,Eliot J B McIntire,0000-0002-6914-8316
https://portal.mardi4nfdi.de/entity/Q58233,Damiano Baldan,0000-0001-9237-4883
https://portal.mardi4nfdi.de/entity/Q58236,Suman Jumani,0000-0002-2292-7996
https://portal.mardi4nfdi.de/entity/Q58246,David Cunillera-Montcusí,0000-0001-8666-346X
https://portal.mardi4nfdi.de/entity/Q58247,Andrea Funk,0000-0002-0568-1234
https://portal.mardi4nfdi.de/entity/Q58252,Thomas Hein,0000-0002-7767-4607
https://portal.mardi4nfdi.de/entity/Q58252,Thomas Hein,0000-0002-7767-4607
https://portal.mardi4nfdi.de/entity/Q58255,Virgile Baudrot,0000-0003-1327-9728
https://portal.mardi4nfdi.de/entity/Q58261,Elise Billoir,0000-0001-9012-3298
https://portal.mardi4nfdi.de/entity/Q58265,Dominique Lamonica,0000-0002-0054-0272
https://portal.mardi4nfdi.de/entity/Q58268,Arnaud Chaumot,0000-0001-9132-3419
https://portal.mardi4nfdi.de/entity/Q58274,Thomas Lacoue-Labarthe,0000-0002-4682-8730
https://portal.mardi4nfdi.de/entity/Q58303,Stu Field,0000-0002-1024-5859
https://portal.mardi4nfdi.de/entity/Q58305,Michael Hoehle,0000-0002-0423-6702
https://portal.mardi4nfdi.de/entity/Q58312,Sebastian Meyer,0000-0002-1791-9449
https://portal.mardi4nfdi.de/entity/Q58312,Sebastian Meyer,0000-0002-1791-9449
https://portal.mardi4nfdi.de/entity/Q58334,Igor Laltuf,0000-0002-5614-4404
https://portal.mardi4nfdi.de/entity/Q58340,Etienne Bacher,0000-0002-9271-5075
https://portal.mardi4nfdi.de/entity/Q58345,Dominique Makowski,0000-0001-5375-9967
https://portal.mardi4nfdi.de/entity/Q58347,Mattan S. Ben-Shachar,0000-0002-4287-4801
https://portal.mardi4nfdi.de/entity/Q58378,Michail Tsagris,0000-0002-2049-3063
https://portal.mardi4nfdi.de/entity/Q58384,Simon P. Preston,0000-0002-1910-4227
https://portal.mardi4nfdi.de/entity/Q58385,Michail Tsagris,0000-0002-2049-3063
https://portal.mardi4nfdi.de/entity/Q58403,Pedro J. Aphalo,0000-0003-3385-972X
https://portal.mardi4nfdi.de/entity/Q58409,Bruna Grizzetti,0000-0001-5570-8581
https://portal.mardi4nfdi.de/entity/Q58456,W. Jake Thompson,0000-0001-7339-0300
https://portal.mardi4nfdi.de/entity/Q58486,Benjamin Fifield,0000-0002-2247-0201
https://portal.mardi4nfdi.de/entity/Q58491,Teppei Yamamoto,0000-0002-8079-7675
https://portal.mardi4nfdi.de/entity/Q58533,David Hall,0000-0002-2193-0480
https://portal.mardi4nfdi.de/entity/Q58536,Will Marble,0000-0001-9352-5540
https://portal.mardi4nfdi.de/entity/Q58537,Cole Tanigawa-lau,0000-0002-8656-571X
https://portal.mardi4nfdi.de/entity/Q58545,Xiao Lu,0000-0003-1175-4687
https://portal.mardi4nfdi.de/entity/Q58583,Luis Valente,0000-0003-4247-8785
https://portal.mardi4nfdi.de/entity/Q58586,Albert B. Phillimore,0000-0002-6553-1553
https://portal.mardi4nfdi.de/entity/Q58587,Bart Haegeman,0000-0003-2325-4727
https://portal.mardi4nfdi.de/entity/Q58588,Joshua W. Lambert,0000-0001-5218-3046
https://portal.mardi4nfdi.de/entity/Q58589,Pedro Santos Neves,0000-0003-2561-4677
https://portal.mardi4nfdi.de/entity/Q58590,Shu Xie,0000-0001-9594-946X
https://portal.mardi4nfdi.de/entity/Q58591,Richèl J.c. Bilderbeek,0000-0003-1107-7049
https://portal.mardi4nfdi.de/entity/Q58594,Hanno Hildenbrandt,0000-0002-6784-1037
https://portal.mardi4nfdi.de/entity/Q69148,Diego Hernangómez,0000-0001-8457-4658
https://portal.mardi4nfdi.de/entity/Q58604,Yuri Brugnara,0000-0001-8427-0064
https://portal.mardi4nfdi.de/entity/Q58620,Maria Nöremark,0000-0003-2555-8476
https://portal.mardi4nfdi.de/entity/Q58621,Stefan Widgren,0000-0001-5745-2284
https://portal.mardi4nfdi.de/entity/Q58642,Guangchuang Yu,0000-0002-6485-8781
https://portal.mardi4nfdi.de/entity/Q58649,Tim Taylor,0000-0002-8587-7113
https://portal.mardi4nfdi.de/entity/Q58656,Sadjad Fakouri Fakouri-Baygi,0000-0002-6864-6911
https://portal.mardi4nfdi.de/entity/Q58658,Dinesh Kumar Barupal,0000-0002-9954-8628
https://portal.mardi4nfdi.de/entity/Q58687,Adrian A. Correndo,0000-0002-4172-289X
https://portal.mardi4nfdi.de/entity/Q58688,Luiz H. Moro Rosso,0000-0002-8642-911X
https://portal.mardi4nfdi.de/entity/Q58689,Rai Schwalbert,0000-0001-8488-7507
https://portal.mardi4nfdi.de/entity/Q58690,Carlos Hernandez,0000-0001-5171-2516
https://portal.mardi4nfdi.de/entity/Q58691,Leonardo M. Bastos,0000-0001-8958-6527
https://portal.mardi4nfdi.de/entity/Q58692,Luciana Nieto,0000-0002-7172-0799
https://portal.mardi4nfdi.de/entity/Q58695,Ignacio A Ciampitti,0000-0001-9619-5129
https://portal.mardi4nfdi.de/entity/Q58734,Rik C Schoemaker,0000-0002-7538-3005
https://portal.mardi4nfdi.de/entity/Q58738,Justin J Wilkins,0000-0002-7099-9396
https://portal.mardi4nfdi.de/entity/Q58758,Teng Gao,0000-0002-0196-689X
https://portal.mardi4nfdi.de/entity/Q58762,Peter V. Kharchenko,0000-0002-6036-5875
https://portal.mardi4nfdi.de/entity/Q58777,Po-Ru Loh,0000-0001-5542-9064
https://portal.mardi4nfdi.de/entity/Q58783,Zuchao Shen,0000-0003-3483-0451
https://portal.mardi4nfdi.de/entity/Q58793,Jordan Mark Barbone,0000-0001-9788-3628
https://portal.mardi4nfdi.de/entity/Q58864,Laurens Swinkels,0000-0002-1174-8079
https://portal.mardi4nfdi.de/entity/Q58872,Edward Burn,0000-0002-9286-1128
https://portal.mardi4nfdi.de/entity/Q58875,Enrico Schumann,0000-0001-7601-6576
https://portal.mardi4nfdi.de/entity/Q58900,Mickaël Canouil,0000-0002-3396-4549
https://portal.mardi4nfdi.de/entity/Q58913,Olivier Sand,0000-0003-1465-1640
https://portal.mardi4nfdi.de/entity/Q58915,Lorella Marselli,0000-0002-6698-2962
https://portal.mardi4nfdi.de/entity/Q58938,Roderick C Slieker,0000-0003-0961-9152
https://portal.mardi4nfdi.de/entity/Q58967,Massimo Aria,0000-0002-8517-9411
https://portal.mardi4nfdi.de/entity/Q58968,Trang le,0000-0003-3737-6565
https://portal.mardi4nfdi.de/entity/Q58971,Patrick Giraudoux,0000-0003-2376-0136
https://portal.mardi4nfdi.de/entity/Q58974,Marc Girondot,0000-0001-6645-8530
https://portal.mardi4nfdi.de/entity/Q58988,Joseph B Pfaller,0000-0002-6551-6644
https://portal.mardi4nfdi.de/entity/Q58991,Brian M. Shamblin,0000-0002-7915-9721
https://portal.mardi4nfdi.de/entity/Q58993,Campbell J Nairn,0000-0002-1690-1730
https://portal.mardi4nfdi.de/entity/Q59001,Joana Hancock,0000-0002-6171-8273
https://portal.mardi4nfdi.de/entity/Q59009,Rui Rebelo,0000-0003-2544-1470
https://portal.mardi4nfdi.de/entity/Q59023,Sebastian Gibb,0000-0001-7406-4443
https://portal.mardi4nfdi.de/entity/Q59031,Jack M. Wolf,0000-0002-8919-8740
